epoch,icmp_seq,rtt_ms
1788088136.968618,1,25.3
1788088137.468556,2,24.3
1788088137.968563,3,23.7
1788088138.468422,4,22.3
1788088138.969485,5,22.5
1788088139.470904,6,22.9
1788088139.990963,7,41.5
1788088140.488411,8,37.9
1788088141.005996,9,54.0
1788088141.490998,10,38.5
1788088141.988394,11,34.8
1788088142.489641,12,34.7
1788088142.990996,13,34.8
1788088143.490946,14,33.4
1788088143.988505,15,30.0
1788088144.488463,16,29.4
1788088144.990968,17,30.9
1788088145.490418,18,29.9
1788088145.990907,19,28.9
1788088146.491087,20,27.6
1788088146.990954,21,26.3
1788088147.488459,22,22.9
1788088147.988449,23,22.4
1788088148.491066,24,24.1
1788088148.988444,25,20.8
1788088149.510984,26,42.0
1788088150.008419,27,38.9
1788088150.510544,28,39.6
1788088151.011276,29,39.2
1788088151.51097,30,38.1
1788088152.008435,31,34.9
1788088152.511066,32,36.1
1788088153.011155,33,35.5
1788088153.511025,34,34.3
1788088154.010998,35,33.4
1788088154.511047,36,32.5
1788088155.010978,37,31.4
1788088155.511044,38,30.5
1788088156.00946,39,27.9
1788088156.508514,40,25.5
1788088157.008714,41,24.6
1788088157.511053,42,25.8
1788088158.008451,43,21.8
1788088158.508487,44,20.7
1788088159.03117,45,42.4
1788088159.531059,46,41.3
1788088160.031045,47,40.4
1788088160.531042,48,39.4
1788088161.028534,49,35.9
1788088161.536075,50,43.3
1788088162.041086,51,47.4
1788088162.529513,52,34.9
1788088163.02854,53,32.5
1788088163.528546,54,31.7
1788088164.028544,55,30.7
1788088164.53109,56,32.0
1788088165.031236,57,31.6
1788088165.531079,58,30.3
1788088166.031104,59,29.5
1788088166.531069,60,28.4
1788088167.031067,61,27.4
1788088167.531035,62,26.4
1788088168.029569,63,24.0
1788088168.530572,64,24.4
1788088169.028516,65,21.4
1788088169.531072,66,23.3
1788088170.048798,67,40.2
1788088170.551072,68,41.7
1788088171.051014,69,40.4
1788088171.549527,70,38.0
1788088172.048566,71,36.5
1788088172.551198,72,38.1
1788088173.051024,73,37.3
1788088173.551025,74,36.5
1788088174.048498,75,32.9
1788088174.549577,76,32.5
1788088175.051036,77,32.9
1788088175.551017,78,31.4
1788088176.051067,79,30.5
1788088176.551076,80,29.5
1788088177.051076,81,28.4
1788088177.551062,82,27.4
1788088178.051027,83,26.4
1788088178.551213,84,25.6
1788088179.048656,85,21.9
1788088179.571049,86,42.8
1788088180.06849,87,38.9
1788088180.571593,88,40.5
1788088181.068531,89,36.4
1788088181.568516,90,35.4
1788088182.071049,91,37.0
1788088182.571025,92,36.4
1788088183.071136,93,35.6
1788088183.571136,94,34.4
1788088184.068525,95,30.8
1788088184.571022,96,31.9
1788088185.071279,97,31.7
1788088185.571206,98,30.4
1788088186.06852,99,26.7
1788088186.569535,100,26.5
1788088187.071131,101,27.0
1788088187.571076,102,26.4
1788088188.068498,103,22.9
1788088188.571091,104,24.0
1788088189.071106,105,23.4
1788088189.591137,106,42.5
1788088190.091042,107,41.3
1788088190.590583,108,40.0
1788088191.088543,109,37.4
1788088191.588607,110,36.5
1788088192.088699,111,35.5
1788088192.58854,112,34.7
1788088193.088506,113,33.7
1788088193.58883,114,33.0
1788088194.088542,115,32.2
1788088194.591517,116,34.4
1788088195.089543,117,31.5
1788088195.591128,118,32.0
1788088196.088604,119,28.9
1788088196.591153,120,29.8
1788088197.09105,121,28.3
1788088197.59105,122,27.4
1788088198.089613,123,25.0
1788088198.590062,124,24.9
1788088199.088528,125,21.9
1788088199.588527,126,20.4
1788088200.111509,127,42.4
1788088200.611063,128,41.0
1788088201.111102,129,40.5
1788088201.611113,130,39.5
1788088202.111136,131,38.5
1788088202.609633,132,35.9
1788088203.108548,133,34.4
1788088203.61107,134,36.0
1788088204.108537,135,32.9
1788088204.6096,136,32.5
1788088205.108575,137,30.4
1788088205.611133,138,32.3
1788088206.108546,139,28.9
1788088206.611123,140,30.0
1788088207.111214,141,29.5
1788088207.611111,142,28.3
1788088208.108581,143,24.9
1788088208.611102,144,26.0
1788088209.111097,145,25.4
1788088209.608628,146,22.0
1788088210.108555,147,21.4
1788088210.608589,148,20.5
1788088211.131129,149,42.0
1788088211.631075,150,41.4
1788088212.131175,151,40.6
1788088212.611093,152,19.4
1788088213.128569,153,35.9
1788088213.631192,154,37.1
1788088214.13109,155,36.3
1788088214.63109,156,35.4
1788088215.131143,157,34.5
1788088215.631246,158,33.5
1788088216.12855,159,29.7
1788088216.631094,160,31.0
1788088217.131066,161,30.4
1788088217.628652,162,27.0
1788088218.128574,163,26.4
1788088218.631108,164,28.0
1788088219.131087,165,27.4
1788088219.631125,166,26.5
1788088220.1311,167,25.4
1788088220.6311,168,24.4
1788088221.131132,169,23.5
1788088221.651131,170,42.4
1788088222.151297,171,41.6
1788088222.651077,172,40.2
1788088223.151114,173,39.5
1788088223.648707,174,36.0
