utc,lte1_max_limit,lte2_max_limit,lte1_bytes,lte2_bytes,cpu_load_pct
2026-08-30T11:07:55Z,,,0,0,6
2026-08-30T11:07:57Z,,,0,0,7
2026-08-30T11:07:59Z,,,0,0,6
2026-08-30T11:08:01Z,,,0,0,2
2026-08-30T11:08:03Z,,,0,0,4
2026-08-30T11:08:05Z,,,0,0,9
2026-08-30T11:08:07Z,,,0,0,9
2026-08-30T11:08:10Z,,,0,0,12
2026-08-30T11:08:12Z,,,0,0,18
2026-08-30T11:08:14Z,,,0,0,11
2026-08-30T11:08:16Z,,,0,0,7
2026-08-30T11:08:18Z,,,0,0,5
2026-08-30T11:08:20Z,,,0,0,5
2026-08-30T11:08:22Z,,,0,0,2
2026-08-30T11:08:24Z,,,0,0,7
2026-08-30T11:08:26Z,,,0,0,9
2026-08-30T11:08:28Z,,,0,0,9
2026-08-30T11:08:31Z,,,0,0,13
2026-08-30T11:08:33Z,,,0,0,16
2026-08-30T11:08:35Z,,,0,0,16
2026-08-30T11:08:37Z,,,0,0,7
2026-08-30T11:08:39Z,,,0,0,9
2026-08-30T11:08:41Z,,,0,0,7
2026-08-30T11:08:43Z,,,0,0,3
2026-08-30T11:08:45Z,,,0,0,5
2026-08-30T11:08:47Z,,,0,0,8
2026-08-30T11:08:49Z,,,0,0,11
2026-08-30T11:08:52Z,,,0,0,13
2026-08-30T11:08:54Z,,,0,0,16
2026-08-30T11:08:58Z,,,0,0,26
2026-08-30T11:09:00Z,,,0,0,17
2026-08-30T11:09:02Z,,,3726,0,9
2026-08-30T11:09:04Z,,,2484,0,8
2026-08-30T11:09:06Z,,,3726,0,7
2026-08-30T11:09:08Z,,,3726,0,6
2026-08-30T11:09:11Z,,,2484,0,9
2026-08-30T11:09:13Z,,,2484,0,15
2026-08-30T11:09:15Z,,,3726,0,16
2026-08-30T11:09:17Z,,,2484,0,8
2026-08-30T11:09:19Z,,,3726,0,7
2026-08-30T11:09:21Z,,,3726,0,4
2026-08-30T11:09:24Z,,,2484,0,5
2026-08-30T11:09:26Z,,,2484,0,9
2026-08-30T11:09:28Z,,,2484,0,10
2026-08-30T11:09:30Z,,,2484,0,27
2026-08-30T11:09:32Z,,,3726,0,9
2026-08-30T11:09:34Z,,,2484,0,9
2026-08-30T11:09:36Z,,,2484,0,4
2026-08-30T11:09:39Z,,,2484,0,7
2026-08-30T11:09:41Z,,,3726,0,11
2026-08-30T11:09:43Z,,,3726,0,11
2026-08-30T11:09:45Z,,,2484,0,18
2026-08-30T11:09:47Z,,,3726,0,7
2026-08-30T11:09:49Z,,,3726,0,9
2026-08-30T11:09:52Z,,,2484,0,5
2026-08-30T11:09:54Z,,,2484,0,4
2026-08-30T11:09:56Z,,,2484,0,13
2026-08-30T11:09:58Z,,,2484,0,15
2026-08-30T11:10:00Z,,,2484,0,17
2026-08-30T11:10:02Z,,,2484,0,16
2026-08-30T11:10:05Z,,,2484,0,8
2026-08-30T11:10:07Z,,,3726,0,2
2026-08-30T11:10:09Z,,,2484,0,9
2026-08-30T11:10:11Z,,,3726,0,14
2026-08-30T11:10:13Z,,,3726,0,15
2026-08-30T11:10:15Z,,,3726,0,16
2026-08-30T11:10:17Z,,,2484,0,11
2026-08-30T11:10:20Z,,,2484,0,11
2026-08-30T11:10:22Z,,,2484,0,7
2026-08-30T11:10:24Z,,,2484,0,6
2026-08-30T11:10:26Z,,,2484,0,6
2026-08-30T11:10:28Z,,,3726,0,12
2026-08-30T11:10:30Z,,,2484,0,21
2026-08-30T11:10:32Z,,,2484,0,13
2026-08-30T11:10:35Z,,,3726,0,10
2026-08-30T11:10:37Z,,,3726,0,7
2026-08-30T11:10:39Z,,,2484,0,9
2026-08-30T11:10:41Z,,,3726,0,17
2026-08-30T11:10:43Z,,,2484,0,17
2026-08-30T11:10:45Z,,,2484,0,25
2026-08-30T11:10:48Z,,,3726,0,12
2026-08-30T11:10:50Z,,,2484,0,10
2026-08-30T11:10:52Z,,,3726,0,6
2026-08-30T11:10:54Z,,,3726,0,7
2026-08-30T11:10:56Z,,,2484,0,8
2026-08-30T11:10:58Z,,,2484,0,20
2026-08-30T11:11:01Z,,,3726,0,25
2026-08-30T11:11:03Z,,,2484,0,14
2026-08-30T11:11:05Z,,,2484,0,9
2026-08-30T11:11:07Z,,,3726,0,12
2026-08-30T11:11:09Z,,,2484,0,22
2026-08-30T11:11:11Z,,,4968,0,22
2026-08-30T11:11:14Z,,,3726,0,26
2026-08-30T11:11:16Z,,,2484,0,23
2026-08-30T11:11:18Z,,,3726,0,26
2026-08-30T11:11:20Z,,,3726,0,22
2026-08-30T11:11:22Z,,,2484,0,6
2026-08-30T11:11:24Z,,,3726,0,14
2026-08-30T11:11:27Z,,,2484,0,14
2026-08-30T11:11:29Z,,,2484,0,10
2026-08-30T11:11:31Z,,,2484,0,9
2026-08-30T11:11:33Z,,,2484,0,7
2026-08-30T11:11:35Z,,,3726,0,3
2026-08-30T11:11:37Z,,,2484,0,7
2026-08-30T11:11:39Z,,,3726,0,10
2026-08-30T11:11:42Z,,,3726,0,14
2026-08-30T11:11:44Z,,,2484,0,19
2026-08-30T11:11:46Z,,,2484,0,12
2026-08-30T11:11:48Z,,,2484,0,9
2026-08-30T11:11:50Z,,,2484,0,6
2026-08-30T11:11:52Z,,,2484,0,7
2026-08-30T11:11:55Z,,,2484,0,11
2026-08-30T11:11:57Z,,,3726,0,23
2026-08-30T11:11:59Z,,,0,0,7
2026-08-30T11:12:01Z,,,0,0,9
2026-08-30T11:12:03Z,,,0,0,5
2026-08-30T11:12:05Z,,,0,0,3
2026-08-30T11:12:07Z,,,0,0,5
