item_id,state,attempts,lte1_band,lte2_band,dual_status,lte1_mbps,lte1_loss_percent,lte1_ping_p95_ms,lte2_mbps,lte2_loss_percent,lte2_ping_p95_ms
A1,COMPLETE,2,8,3,PASS_DUAL,5.997262557057206,0.037333333333333336,30.9,5.994326178775949,0.08613333333333334,42.9
A2,COMPLETE,1,8,3,PASS_DUAL,5.992709104033897,0.11173333333333334,32.8,5.986757077508558,0.21146666666666666,84.8
A3,COMPLETE,1,8,3,PASS_DUAL,5.99134445655467,0.1368,31.7,5.986111442079027,0.2232,36.0
B1,COMPLETE,3,7,3,PASS_DUAL,5.596001393846301,6.722133333333334,95.7,5.983456599710827,0.2674666666666667,34.0
B2,COMPLETE,1,7,3,PASS_DUAL,5.508518600352748,8.182666666666666,103.0,5.975890350724932,0.3930666666666667,34.7
B3,PENDING,0,7,3,,,,,,,
