2026-08-09T11:24:58+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=230
2026-08-09T11:27:00+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=352
2026-08-09T11:29:01+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=65
2026-08-09T11:31:03+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=187
2026-08-09T11:33:05+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=309
2026-08-09T11:35:07+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=30 worker_stall_s=69
2026-08-09T11:37:09+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=31 worker_stall_s=191
2026-08-09T11:39:11+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M6 item_state=RUNNING hb_age_s=31 worker_stall_s=313
2026-08-09T11:41:12+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=31 worker_stall_s=36
2026-08-09T11:43:13+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=30 worker_stall_s=157
2026-08-09T11:45:15+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=30 worker_stall_s=279
2026-08-09T11:47:17+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=31 worker_stall_s=41
2026-08-09T11:49:19+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=31 worker_stall_s=163
2026-08-09T11:51:21+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M5 item_state=RUNNING hb_age_s=31 worker_stall_s=285
2026-08-09T11:53:22+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M4 item_state=RUNNING hb_age_s=31 worker_stall_s=40
2026-08-09T11:55:24+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M4 item_state=RUNNING hb_age_s=31 worker_stall_s=162
2026-08-09T11:57:25+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M4 item_state=RUNNING hb_age_s=30 worker_stall_s=283
2026-08-09T11:59:26+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M3 item_state=WAITING_REGISTRATION hb_age_s=30 worker_stall_s=71
2026-08-09T12:01:28+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M3 item_state=RUNNING hb_age_s=30 worker_stall_s=147
2026-08-09T12:03:30+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M3 item_state=RUNNING hb_age_s=30 worker_stall_s=269
2026-08-09T12:05:35+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RUNNING hb_age_s=3 worker_stall_s=18
2026-08-09T12:07:45+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RUNNING hb_age_s=11 worker_stall_s=148
2026-08-09T12:09:55+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RUNNING hb_age_s=20 worker_stall_s=278
2026-08-09T12:12:05+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RETRY_PENDING hb_age_s=28 worker_stall_s=85
2026-08-09T12:14:09+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RUNNING hb_age_s=31 worker_stall_s=150
2026-08-09T12:16:11+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M2 item_state=RUNNING hb_age_s=31 worker_stall_s=272
2026-08-09T12:18:17+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=5 worker_stall_s=23
2026-08-09T12:20:25+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=11 worker_stall_s=151
2026-08-09T12:22:35+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=19 worker_stall_s=281
2026-08-09T12:24:41+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RETRY_PENDING hb_age_s=23 worker_stall_s=83
2026-08-09T12:26:49+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=31 worker_stall_s=152
2026-08-09T12:28:50+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=30 worker_stall_s=273
2026-08-09T12:30:52+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RETRY_PENDING hb_age_s=30 worker_stall_s=71
2026-08-09T12:32:54+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=31 worker_stall_s=110
2026-08-09T12:34:56+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M1 item_state=RUNNING hb_age_s=31 worker_stall_s=232
2026-08-09T12:37:05+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=7 worker_stall_s=11
2026-08-09T12:39:15+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=16 worker_stall_s=118
2026-08-09T12:41:25+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=24 worker_stall_s=248
2026-08-09T12:43:32+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RETRY_PENDING hb_age_s=30 worker_stall_s=75
2026-08-09T12:45:34+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=31 worker_stall_s=114
2026-08-09T12:47:35+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=29 worker_stall_s=234
2026-08-09T12:49:37+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RETRY_PENDING hb_age_s=30 worker_stall_s=57
2026-08-09T12:51:39+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=30 worker_stall_s=96
2026-08-09T12:53:41+00:00 ok state=PRIMARY_DUAL_MATRIX item=R2-M0 item_state=RUNNING hb_age_s=31 worker_stall_s=218
2026-08-09T12:55:55+00:00 ok state=COVERAGE_DUAL_MATRIX item=C1 item_state=WAITING_REGISTRATION hb_age_s=12 worker_stall_s=42
2026-08-09T12:58:05+00:00 ok state=COVERAGE_DUAL_MATRIX item=C1 item_state=RUNNING hb_age_s=21 worker_stall_s=108
2026-08-09T13:00:15+00:00 ok state=COVERAGE_DUAL_MATRIX item=C1 item_state=RUNNING hb_age_s=29 worker_stall_s=238
