item_id,state,attempts,lte1_band,lte2_band,dual_status,registration,lte1_mbps,lte1_loss_percent,lte1_jitter_ms,lte1_ping_avg_ms,lte1_ping_p95_ms,lte1_ping_max_ms,lte1_ping_loss_percent,lte1_rsrp_median,lte1_rsrq_median,lte1_sinr_median,lte2_mbps,lte2_loss_percent,lte2_jitter_ms,lte2_ping_avg_ms,lte2_ping_p95_ms,lte2_ping_max_ms,lte2_ping_loss_percent,lte2_rsrp_median,lte2_rsrq_median,lte2_sinr_median
Q1,COMPLETE,1,3,3,PASS_DUAL,REGISTERED,5.99355751990009,0.07893333333333333,2.025048336829183,26.254,35.7,232.849,0.0,,,,5.325843776103663,11.2112,1.5648804990994918,50.921,123.0,220.945,0.0626959,,,
Q2,COMPLETE,2,3,8,PASS_DUAL,REGISTERED,5.992921002436477,0.09706666666666666,1.8176461603063927,22.947,31.0,233.552,0.0,,,,5.994016649017584,0.07786666666666667,1.717876918049842,25.969,46.9,108.499,0.0627746,,,
Q3,FAILED_AFTER_RETRIES,1,3,7,FAIL_IPERF_OR_PATH,REGISTERED,,,,24.88,34.5,39.475,0.0,,,,5.799067446195612,3.3264,1.5932056284510565,51.122,137.0,304.818,0.0626566,,,
