utc,path,operator,band,status
2026-08-30T11:12:10Z,lte1,Telia,B3@20Mhz earfcn: 1344 phy-cellid: 310,registered
2026-08-30T11:12:10Z,lte2,Elisa EE,B38@20Mhz earfcn: 37900 phy-cellid: 3,registered
