epoch,icmp_seq,rtt_ms
1788088391.419104,1,36.9
1788088392.738793,2,856.0
1788088394.068914,3,1682.0
1788088395.131193,4,2244.0
1788088395.881224,5,2486.0
1788088397.123637,6,3225.0
1788088397.778578,7,3379.0
1788088398.208363,8,3302.0
1788088398.583587,9,3176.0
1788088399.251148,10,3343.0
1788088399.461018,11,3050.0
1788088399.811018,12,2896.0
1788088400.055977,13,2640.0
1788088400.503644,14,2587.0
1788088400.913517,15,2497.0
1788088401.738314,16,2820.0
1788088402.25093,17,2834.0
1788088404.000846,19,3581.0
1788088405.315838,21,3889.0
1788088406.435749,23,4009.0
1788088407.465764,25,4031.0
1788088408.395828,27,3956.0
1788088409.458281,29,4012.0
1788088411.130606,33,3680.0
1788088412.090636,35,3640.0
1788088413.017931,37,3560.0
1788088414.095511,39,3629.0
1788088415.200455,41,3729.0
1788088415.607824,42,3629.0
1788088416.392821,44,3406.0
1788088417.190416,46,3196.0
1788088418.577765,49,3075.0
1788088419.600243,51,3097.0
1788088420.605242,53,3094.0
1788088421.607657,55,3085.0
1788088422.910241,57,3379.0
1788088424.650122,60,3610.0
1788088426.870079,65,3307.0
1788088427.227587,66,3161.0
1788088427.839944,67,3269.0
1788088430.157444,72,3070.0
1788088430.962332,74,2874.0
1788088431.91729,76,2818.0
1788088432.949666,78,2843.0
1788088434.079911,80,2971.0
1788088435.122342,82,3011.0
1788088436.182458,84,3063.0
1788088437.247002,86,3120.0
1788088438.23956,88,3104.0
1788088439.816992,91,3170.0
1788088440.916979,93,3262.0
1788088442.279432,95,3624.0
1788088443.199536,97,3533.0
1788088443.936848,99,3262.0
1788088444.706904,101,3024.0
1788088445.456839,103,2769.0
1788088448.389187,107,3690.0
1788088449.05026,108,3851.0
1788088450.01416,109,4314.0
1788088451.579146,111,4872.0
1788088452.82906,113,5114.0
1788088456.324004,120,5089.0
1788088457.10628,122,4863.0
1788088459.068803,126,4810.0
1788088460.268767,128,5002.0
1788088461.328768,130,5054.0
1788088462.418687,132,5143.0
1788088463.423683,134,5141.0
1788088464.258623,136,4972.0
1788088465.231195,138,4937.0
1788088466.97868,142,4672.0
1788088467.878502,144,4564.0
1788088469.043447,146,4728.0
1788088470.89837,150,4576.0
1788088472.646009,153,4811.0
1788088474.968276,157,5117.0
1788088476.098211,159,5239.0
1788088477.145711,161,5279.0
1788088478.14566,163,5274.0
1788088479.118147,165,5235.0
1788088480.023024,167,5132.0
1788088480.880542,169,4982.0
1788088481.778307,171,4871.0
1788088482.695558,173,4781.0
1788088483.205666,175,4283.0
1788088483.808026,177,3877.0
1788088484.575427,179,3644.0
1788088485.137943,181,3202.0
1788088485.875655,183,2932.0
1788088486.557844,184,3114.0
1788088486.995325,185,3051.0
1788088487.417823,186,2967.0
1788088487.857971,187,2906.0
1788088488.56801,188,3116.0
1788088488.992785,189,3040.0
1788088489.717964,191,2759.0
1788088490.717803,193,2759.0
1788088491.607647,195,2640.0
1788088492.637683,197,2668.0
1788088493.685086,199,2710.0
1788088494.697613,201,2713.0
1788088495.697596,203,2705.0
1788088497.647676,207,2640.0
1788088498.18008,208,2665.0
1788088499.147562,210,2625.0
1788088500.084983,212,2554.0
1788088501.03481,214,2503.0
1788088502.117334,216,2581.0
1788088503.354985,218,2812.0
1788088504.13732,219,3092.0
1788088504.782227,220,3235.0
1788088506.342387,222,3791.0
1788088507.322193,224,3764.0
1788088509.474701,229,3408.0
1788088511.06703,233,2999.0
1788088512.037239,235,2962.0
1788088512.814485,237,2732.0
1788088513.79458,239,2707.0
1788088514.217153,240,2622.0
1788088514.826929,241,2732.0
1788088515.256909,242,2654.0
1788088515.842191,243,2738.0
1788088516.90452,245,2792.0
1788088517.294301,246,2683.0
1788088517.796943,247,2685.0
1788088518.126859,248,2514.0
1788088518.987068,250,2368.0
1788088519.572044,251,2452.0
1788088519.916739,252,2297.0
1788088520.569269,253,2449.0
1788088521.896712,256,2274.0
1788088523.124304,258,2502.0
1788088524.264137,260,2637.0
1788088525.446711,262,2812.0
1788088526.391607,264,2749.0
1788088528.526505,268,2879.0
1788088529.392423,270,2738.0
1788088530.20155,272,2535.0
1788088531.113884,274,2442.0
1788088532.073872,276,2394.0
1788088533.088877,278,2401.0
